,companyId,companyName,description,companyType,employeesCount,timestamp,ICP-conform
0,10339087,Education Alliance Finland,"Education Alliance Finland provides a science-based quality standard and certification for learning solutions. We help EdTech companies to validate their solution's learning impact and support schools to choose the products with a proven positive impact on learning. 

Our Evaluation Method is an academically sound approach to evaluating a product’s pedagogical design from the viewpoint of educational psychology. Through our evaluation, you get feedback and evidence of the product's learning effectiveness. 

EdTech industry stakeholders around the world trust Education Alliance Finland to ensure solutions are independently certified to high-level quality standards. ",E-Learning,1-10 employees,2022-02-24T22:23:17.915Z,False
1,15223233,Videocation.no,"Videocation.no AS er et heldigitalt forlag som utvikler og publiserer videokurs for det norske bedrifts- og personmarkedet. Våre kurs er forankret i norsk kultur og formidlet på norsk. Vi brenner for opplæring og arbeider for at alle skal få muligheten å lære av de beste. Vår oppgave er derfor å finne de mest engasjerende ekspertene og foredle deres kunnskap til attraktive videokurs. Vår ambisjon er å utgi de beste videokursene innenfor alle områder hvor folk etterspør opplæring. Alle lærer raskest på sitt morsmål. Studenter. Medarbeidere. Ledere. I en tid med globalisering og økende anglifisering skal Videocation.no derfor være et tydelig alternativ på norsk. Vi skal være:

 - en garantist for faglig kvalitet og høyt læringsutbytte.
 - et attraktivt forlag for våre eksperter, brukere og samarbeidspartnere.
 - en kilde til lærelyst og stolthet for norsk språk, kultur og kunnskapsformidling.
",E-Learning,11-50 employees,2022-02-24T22:23:17.915Z,False
2,5012635,Sustainable Brand Index™,"Sustainable Brand Index™ measures and analyses how sustainability affects branding, communication and business development. With the help of nearly 70 000 consumers across 8 countries, the study measures and analyses over 1 500 brands across 35+ industries on sustainability.",Market Research,1-10 employees,2022-02-24T22:23:17.915Z,False
3,200335,ArcticStartup,"ArcticStartup is an independent technology company that reports on digital startups and growth entrepreneurship from the Nordic and Baltic countries. Our goal is to provide exceptional coverage of the news and trends needed to support a developed entrepreneurship community in Northern Europe.

ArcticStartup was founded in 2007 and is currently led by Jan Ameri and Vedat Öndas. Our headquarters are located in Helsinki, Finland, however, we cover the startup scenes of Finland, Sweden, Norway, Denmark, Iceland, Estonia, Latvia, Lithuania and Russia.

Our aim is to encourage entrepreneurship and to promote connectedness in the Nordic and Baltic regions. To do so we have our media arm, events and a number of very exciting plans for expansion.

We continuously gather tens of thousands of readers from over 130 countries, giving the region's startups a media channel for getting global recognition.

Our flagship event Arctic15 gathers an international crowd of investors, startups, scaleups, corporates and influencers to Helsinki every spring.

If you want to share your news with us, please send us a tip through http://tip.arcticstartup.com

www.arcticstartup.com
www.arctic15.com
www.santaschristmaspitch.com",Internet,11-50 employees,2022-02-24T22:23:17.915Z,False
4,6380562,Organic Basics,"We’re building a sustainable brand that people can trust, now and always. We do this by starting with what goes closest to our skin and what we wear the most. We create innovative sustainable products and build a community that celebrates and supports environmental activism and more responsible living. Through education on our online platforms, our customers are learning how to be better consumers - together with us.

Low Impact
We put sustainability at the core of everything we do. We’ve invested in a green European supply chain to minimise our waste, water, and energy footprint - and by working with the highest globally certified sustainable standards for materials and production. We use sustainability as a core focus - not just as a superficial “nice to have”. Most importantly we invest in the people and the knowledge that makes this fashion revolution possible.

Activism
We over invest in a more sustainable supply chain and in our own sustainable innovation, and we inspire activism by supporting important environmental causes. We always explain the how and why - and communicate with our customers and followers about doing what is right.

Transparency
We believe in showing the true impact of fashion - and always displaying information about where we make our clothes. In order to show the environmental impact to the customer - we’ve developed our own Impact Index - which is a tool for measuring the true cost of fashion. This tool calculates the total savings for water, waste, CO2, chemicals and energy by comparing our supply chain against the typical industry practices.
_x0003_
Honesty
We’re building a brand that people can trust now and forever by going the extra mile and always making things right (and letting our customers and followers know what is going wrong). We want to be a brand that feels so human you would actually want to be friends with them.

",Internet,11-50 employees,2022-02-24T22:23:17.915Z,True
5,11394310,redox.me,"Redoxme AB was founded in July 2015 in Norrköping, Sweden. It is an outcome of an entrepreneurial process based on the exploitation of academic technology at Linköping University.

We provide laboratory instrumentation that enables simultaneous in-situ measurements of a number of signals (electrochemical, optical, thermal and other) on thin film and membrane materials. So what we are actually doing is creating an added value for existing laboratory facilities. An extension that combines many measurement techniques. But at the same time, we promote best practice in measurements and data analysis and we impose a concrete standardization in the field of material science. In practice, we are taking needs and opinions of scientist to create new methods that actually benefit to the whole research community. 

Our unique research/business environment consists of many actors from research and industry including Laboratory of Organic Electronics at Linköping University, RISE Acreo AB and PEA-Manufacturing.",Research,1-10 employees,2022-02-24T22:23:17.915Z,False
6,989914,Mater,"Circular since 2006, Mater was created to be the pioneering global brand with sustainability embedded in its core. 

Considering the planet, its resources & its people.
",Design,11-50 employees,2022-02-24T22:23:17.915Z,True
7,5270199,ChriChri,"ChriChri er Danmarks største mediekoncern som udelukkende henvender sig til kvinder. 
Bag ChriChri står Chefredaktør Christiane Schaumburg-Müller og et helt team af dedikerede redaktører, som alle bidrager til Danmarks bedste medieunivers for kvinder.

På ChriChri.dk, ChriChri Magazine og ChriChri TV får du en unik platform, med en kendt og personlig afsender, som rammer en købestærk og interessant målgruppe af kvinder mellem 20 og 45 år.",Online Media,11-50 employees,2022-02-24T22:23:17.915Z,True
8,9232508,Tise,"Tise is a Norwegian, fast-growing software company with an experienced team. We do everything from coding to design and business development in-house. 

Our main focus is the app for iOS and Android called Tise. Tise (as in ""advertise""​) is a marriage between Instagram and Craigslist for selling and discovering second hand fashion, interior and furniture. 

We believe that second hand trade is an important key to make the world more sustainable. However, even though most people acknowledge this, their barriers are still too high to take action, and they still have too many nice things just laying around unused. To sell your items through a traditional classified service is a timely process and for many it is embarrassing or even stigmatic.

We believe that everyone wants to be a part of the green movement and just needs a little motivation and the right tool to get going. Tise increases your incentives for selling in a fun and inspiring way, while on the other hand lets you go second-hand treasure hunting in your own neighbourhood every day.",Internet,51-200 employees,2022-02-24T22:23:17.915Z,False
9,16172187,Woolman,"Build your brand with the largest Shopify Plus Agency in the EU.
 
From concept to conversion, we'll kick complexity to the curb & build stores that your customers will love. Tech houses make great code, and design agencies create slick designs. We make eCommerce stores that sell. 

From building state of the art eCommerce solutions to growing and supporting your Shopify store, we are your lifetime partner in commerce. 

We are a team of experienced merchants, entrepreneurs, designers, marketing experts, architects, and integration specialists united by a passion for commerce. Building successful commerce solutions to achieve our customer's goals is our passion. And we always do this together, Hand in hand, according to our brand promise. 

Woolman is the largest Shopify Plus Agency in the European Union. We are also an Oracle Netsuite Solution Partner. We will not only superpower your commerce. We will also simplify your financials. ",Information Technology and Services,51-200 employees,2022-02-24T22:23:17.915Z,False
